@T,table
Created,2015-10-08 17:14
Author,HortonMachine library
@H,timestamp,value_209
ID,,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,0.0
,1994-01-01 01:00,1.0
,1994-01-01 02:00,2.0
,1994-01-01 03:00,3.0
,1994-01-01 04:00,4.0
,1994-01-01 05:00,5.0
,1994-01-01 06:00,6.0
,1994-01-01 07:00,7.0
,1994-01-01 08:00,8.0
,1994-01-01 09:00,9.0
,1994-01-01 10:00,10.0
,1994-01-01 11:00,11.0
,1994-01-01 12:00,12.0
,1994-01-01 13:00,13.0
,1994-01-01 14:00,14.0
,1994-01-01 15:00,15.0
,1994-01-01 16:00,16.0
,1994-01-01 17:00,17.0
,1994-01-01 18:00,18.0
,1994-01-01 19:00,19.0
,1994-01-01 20:00,20.0
,1994-01-01 21:00,21.0
,1994-01-01 22:00,22.0
,1994-01-01 23:00,23.0
,1994-01-02 00:00,24.0
,1994-01-02 01:00,25.0
,1994-01-02 02:00,26.0
,1994-01-02 03:00,27.0
,1994-01-02 04:00,28.0
,1994-01-02 05:00,29.0
,1994-01-02 06:00,30.0
,1994-01-02 07:00,31.0
,1994-01-02 08:00,32.0
,1994-01-02 09:00,33.0
,1994-01-02 10:00,34.0
,1994-01-02 11:00,35.0
,1994-01-02 12:00,36.0
,1994-01-02 13:00,37.0
,1994-01-02 14:00,38.0
,1994-01-02 15:00,39.0
,1994-01-02 16:00,40.0
,1994-01-02 17:00,41.0
,1994-01-02 18:00,42.0
,1994-01-02 19:00,43.0
,1994-01-02 20:00,44.0
,1994-01-02 21:00,45.0
,1994-01-02 22:00,46.0
,1994-01-02 23:00,47.0
,1994-01-03 00:00,48.0
,1994-01-03 01:00,49.0
,1994-01-03 02:00,50.0
,1994-01-03 03:00,51.0
,1994-01-03 04:00,52.0
,1994-01-03 05:00,53.0
,1994-01-03 06:00,54.0
,1994-01-03 07:00,55.0
,1994-01-03 08:00,56.0
,1994-01-03 09:00,57.0
,1994-01-03 10:00,58.0
,1994-01-03 11:00,59.0
,1994-01-03 12:00,60.0
,1994-01-03 13:00,61.0
,1994-01-03 14:00,62.0
,1994-01-03 15:00,63.0
,1994-01-03 16:00,64.0
,1994-01-03 17:00,65.0
,1994-01-03 18:00,66.0
,1994-01-03 19:00,67.0
,1994-01-03 20:00,68.0
